code,symbol,name,h_jun,l_jul,mid_line,h_aug18,break_diff,break_pct
600020,sh600020,中原高速,3.29,3.39,3.34,3.66,0.32,9.58
600267,sh600267,海正药业,6.735,6.715,6.725,7.365,0.64,9.52
000892,sz000892,欢瑞世纪,2.59,2.49,2.54,2.77,0.23,9.06
600298,sh600298,安琪酵母,27.15,27.6,27.375,29.85,2.475,9.04
603755,sh603755,日辰股份,22.917,21.057,21.987,23.967,1.98,9.01
600018,sh600018,上港集团,5.41,5.59,5.5,5.98,0.48,8.73
600962,sh600962,国投中鲁,12.3,12.79,12.545,13.64,1.095,8.73
600684,sh600684,珠江股份,2.71,2.72,2.715,2.95,0.235,8.66
603887,sh603887,城地香江,5.56,5.45,5.505,5.98,0.475,8.63
601000,sh601000,唐山港,4.33,4.66,4.495,4.88,0.385,8.57
